年份／名稱,論文題目,類別,子分類,
2025,新復古風格插畫創作研究,創作,繪本與插畫創作,
,花器造型實驗創作-基礎造形構成創作研究,創作,其他創作,
,漫畫敘事應用於布袋戲文化傳承之創作研究初探,創作,繪本與插畫創作,
,3D 故事書的符號轉譯與地方記憶再現—以大粗坑為例,創作,繪本與插畫創作,
,探討自我指涉在書籍設計中的應用與創作研究,創作,繪本與插畫創作,
,觸覺圖像適用於低視力視覺障礙兒童觸覺繪本研究初探,創作,繪本與插畫創作,
,生成式 AI 應用於 VJ 影像之創作研究,創作,AR／互動／數位,
,台灣 1860-1945 年女裝圖案特色之研究,創作,平面設計,
,非正向元素於角色設計中的療癒效果與商業潛力初探,創作,其他創作,
,資訊圖表應用在資源回收及再利用表現創作,創作,資訊圖像,
,智慧倉儲之動態資訊圖像創作研究,創作,資訊圖像,
,東方哲學與西方超現實轉譯互動創作設計,創作,AR／互動／數位,
,"臺北捷運淡水信義線地方地景特色應用於視覺符號創作
設計— 以淡水站、劍潭站為例
",創作,動態影像／動畫,
,宜蘭機場之軍事符號應用在動態插畫創作研究初探 ,創作,動態影像／動畫,
,"桃園眷村文化符碼調查研究應用於
數位圖像創作—以憲光二村為例",創作,平面設計,
,仿生造形設計-蝸牛音樂鼓搖椅,創作,其他創作,
,越南傳統服飾融入當代公仔之設計創作研究,創作,其他創作,
,"電子商務 APP 結帳流程簡化之案例研究
",理論,其他研究,
,數位時代台灣百貨櫥窗設計式微之成因與再定位,理論,其他研究,
,線上課程平台之課程介紹資訊圖像應用現況分析,理論,其他研究,
,雜誌封面設計特徵之研究 - 以 POPEYE 為例,理論,文化符號與視覺研究,
,臺灣木製 DIY 體驗活動流程要素之研究,理論,其他研究,
,"AI 數位轉型對應設計教育策略調整初探：以生成式 AI 圖
像教學現場為例
",理論,教育場域研究,
,"行動研究中問卷信效度檢驗與前測分析—
以螢光反應融入圖地反轉課程為例
",理論,造形研究,
,生成式人工智慧的論文議題與學門之關聯分析,理論,其他研究,
,普立茲新聞獎攝影作品情感分析以新冠肺炎疫情報導作品為例,理論,文化符號與視覺研究,
,"藝術博覽會線上展覽平台之使用性研究—
以 ART TAIPEI 2024 為例
",理論,使用者經驗與介面設計研究,
,極簡主義在品牌標誌設計中的應用分析,理論,造形研究,
,臺灣節慶包裝視覺訊息之探討_以中秋糕餅禮盒為例,理論,文化符號與視覺研究,
2024,臺灣與沖繩傳統節慶之動態海報創作研究,創作,動態影像／動畫,
,莫札特《小星星變奏曲》之古典主義音樂動態圖像創作研究,創作,動態影像／動畫,
,生成式 AI 之小誌創作研究,創作,平面設計,
,《靜與嘈》城市聲景之動態圖像創作研究-以臺北市內湖科技園區為例,創作,動態影像／動畫,
,論舊北投地方創生之文化符碼設計研究,創作,其他創作,
,贗象：房地產廣告中的階級表述—品味與符號,理論,文化符號與視覺研究,
,應用文化探測研究高齡者之睡眠行為與習慣,理論,文化符號與視覺研究,
,影響網購平臺角色 IP 的設計變因研究,理論,其他研究,
,臺灣沉浸式展覽主題之趨勢研究,理論,其他研究,
